WeekDate,Lesson,Class,Teacher,Subject
Mon,2,12A1,X,Công nghệ & hướng nghiệp
Mon,2,12A2,R,Nghệ thuật
Mon,2,12A3,L,Hóa
Mon,2,12A4,F,Văn
Mon,2,12A5,N,Sinh
Mon,2,12A6,S,GDCD
Mon,2,12A7,U,Sử
Mon,2,12A8,E,Văn
Mon,2,12A9,T,Thế chất
Mon,2,12A10,D,Toán
Mon,2,12A11,G,Văn
Mon,2,12A12,R,Nghệ thuật
Mon,2,12A13,S,GDCD
Mon,2,12A14,P,Anh
Mon,2,12A15,V,Địa
Mon,3,12A1,U,Sử
Mon,3,12A2,D,Toán
Mon,3,12A3,N,Sinh
Mon,3,12A4,L,Hóa
Mon,3,12A5,L,Hóa
Mon,3,12A6,P,Anh
Mon,3,12A7,P,Anh
Mon,3,12A8,H,Văn
Mon,3,12A9,X,Công nghệ & hướng nghiệp
Mon,3,12A10,L,Hóa
Mon,3,12A11,V,Địa
Mon,3,12A12,C,Toán
Mon,3,12A13,I,Lý
Mon,3,12A14,R,Nghệ thuật
Mon,3,12A15,C,Toán
Mon,4,12A1,V,Địa
Mon,4,12A2,S,GDCD
Mon,4,12A3,O,Anh
Mon,4,12A4,I,Lý
Mon,4,12A5,N,Sinh
Mon,4,12A6,U,Sử
Mon,4,12A7,A,Toán
Mon,4,12A8,I,Lý
Mon,4,12A9,S,GDCD
Mon,4,12A10,M,Hóa
Mon,4,12A11,T,Thế chất
Mon,4,12A12,T,Thế chất
Mon,4,12A13,P,Anh
Mon,4,12A14,V,Địa
Mon,4,12A15,L,Hóa
Mon,5,12A1,K,Lý
Mon,5,12A2,P,Anh
Mon,5,12A3,V,Địa
Mon,5,12A4,Q,Tin học
Mon,5,12A5,O,Anh
Mon,5,12A6,G,Văn
Mon,5,12A7,E,Văn
Mon,5,12A8,X,Công nghệ & hướng nghiệp
Mon,5,12A9,F,Văn
Mon,5,12A10,T,Thế chất
Mon,5,12A11,S,GDCD
Mon,5,12A12,U,Sử
Mon,5,12A13,R,Nghệ thuật
Mon,5,12A14,G,Văn
Mon,5,12A15,L,Hóa
Mon,6,12A1,C,Toán
Mon,6,12A2,R,Nghệ thuật
Mon,6,12A3,V,Địa
Mon,6,12A4,V,Địa
Mon,6,12A5,X,Công nghệ & hướng nghiệp
Mon,6,12A6,I,Lý
Mon,6,12A7,V,Địa
Mon,6,12A8,U,Sử
Mon,6,12A9,Q,Tin học
Mon,6,12A10,Q,Tin học
Mon,6,12A11,N,Sinh
Mon,6,12A12,R,Nghệ thuật
Mon,6,12A13,I,Lý
Mon,6,12A14,O,Anh
Mon,6,12A15,F,Văn
Mon,7,12A1,P,Anh
Mon,7,12A2,S,GDCD
Mon,7,12A3,T,Thế chất
Mon,7,12A4,P,Anh
Mon,7,12A5,A,Toán
Mon,7,12A6,L,Hóa
Mon,7,12A7,S,GDCD
Mon,7,12A8,R,Nghệ thuật
Mon,7,12A9,L,Hóa
Mon,7,12A10,C,Toán
Mon,7,12A11,M,Hóa
Mon,7,12A12,V,Địa
Mon,7,12A13,U,Sử
Mon,7,12A14,U,Sử
Mon,7,12A15,Q,Tin học
Mon,8,12A1,U,Sử
Mon,8,12A2,V,Địa
Mon,8,12A3,A,Toán
Mon,8,12A4,H,Văn
Mon,8,12A5,O,Anh
Mon,8,12A6,U,Sử
Mon,8,12A7,N,Sinh
Mon,8,12A8,M,Hóa
Mon,8,12A9,X,Công nghệ & hướng nghiệp
Mon,8,12A10,N,Sinh
Mon,8,12A11,O,Anh
Mon,8,12A12,T,Thế chất
Mon,8,12A13,R,Nghệ thuật
Mon,8,12A14,I,Lý
Mon,8,12A15,F,Văn
Mon,9,12A1,N,Sinh
Mon,9,12A2,C,Toán
Mon,9,12A3,R,Nghệ thuật
Mon,9,12A4,X,Công nghệ & hướng nghiệp
Mon,9,12A5,R,Nghệ thuật
Mon,9,12A6,I,Lý
Mon,9,12A7,X,Công nghệ & hướng nghiệp
Mon,9,12A8,R,Nghệ thuật
Mon,9,12A9,V,Địa
Mon,9,12A10,D,Toán
Mon,9,12A11,A,Toán
Mon,9,12A12,C,Toán
Mon,9,12A13,P,Anh
Mon,9,12A14,N,Sinh
Mon,9,12A15,K,Lý
Tue,1,12A1,H,Văn
Tue,1,12A2,T,Thế chất
Tue,1,12A3,T,Thế chất
Tue,1,12A4,O,Anh
Tue,1,12A5,F,Văn
Tue,1,12A6,C,Toán
Tue,1,12A7,K,Lý
Tue,1,12A8,H,Văn
Tue,1,12A9,X,Công nghệ & hướng nghiệp
Tue,1,12A10,D,Toán
Tue,1,12A11,O,Anh
Tue,1,12A12,Q,Tin học
Tue,1,12A13,D,Toán
Tue,1,12A14,F,Văn
Tue,1,12A15,U,Sử
Tue,2,12A1,X,Công nghệ & hướng nghiệp
Tue,2,12A2,R,Nghệ thuật
Tue,2,12A3,X,Công nghệ & hướng nghiệp
Tue,2,12A4,R,Nghệ thuật
Tue,2,12A5,P,Anh
Tue,2,12A6,F,Văn
Tue,2,12A7,K,Lý
Tue,2,12A8,R,Nghệ thuật
Tue,2,12A9,U,Sử
Tue,2,12A10,M,Hóa
Tue,2,12A11,M,Hóa
Tue,2,12A12,V,Địa
Tue,2,12A13,G,Văn
Tue,2,12A14,G,Văn
Tue,2,12A15,G,Văn
Tue,3,12A1,L,Hóa
Tue,3,12A2,X,Công nghệ & hướng nghiệp
Tue,3,12A3,P,Anh
Tue,3,12A4,G,Văn
Tue,3,12A5,M,Hóa
Tue,3,12A6,U,Sử
Tue,3,12A7,D,Toán
Tue,3,12A8,S,GDCD
Tue,3,12A9,Q,Tin học
Tue,3,12A10,P,Anh
Tue,3,12A11,N,Sinh
Tue,3,12A12,B,Toán
Tue,3,12A13,T,Thế chất
Tue,3,12A14,N,Sinh
Tue,3,12A15,P,Anh
Tue,4,12A1,Q,Tin học
Tue,4,12A2,E,Văn
Tue,4,12A3,I,Lý
Tue,4,12A4,I,Lý
Tue,4,12A5,S,GDCD
Tue,4,12A6,V,Địa
Tue,4,12A7,O,Anh
Tue,4,12A8,V,Địa
Tue,4,12A9,Q,Tin học
Tue,4,12A10,Q,Tin học
Tue,4,12A11,Q,Tin học
Tue,4,12A12,O,Anh
Tue,4,12A13,K,Lý
Tue,4,12A14,L,Hóa
Tue,4,12A15,L,Hóa
Tue,5,12A1,T,Thế chất
Tue,5,12A2,S,GDCD
Tue,5,12A3,U,Sử
Tue,5,12A4,R,Nghệ thuật
Tue,5,12A5,G,Văn
Tue,5,12A6,K,Lý
Tue,5,12A7,U,Sử
Tue,5,12A8,X,Công nghệ & hướng nghiệp
Tue,5,12A9,N,Sinh
Tue,5,12A10,P,Anh
Tue,5,12A11,H,Văn
Tue,5,12A12,E,Văn
Tue,5,12A13,X,Công nghệ & hướng nghiệp
Tue,5,12A14,U,Sử
Tue,5,12A15,Q,Tin học
Wed,1,12A1,T,Thế chất
Wed,1,12A2,K,Lý
Wed,1,12A3,C,Toán
Wed,1,12A4,E,Văn
Wed,1,12A5,F,Văn
Wed,1,12A6,X,Công nghệ & hướng nghiệp
Wed,1,12A7,A,Toán
Wed,1,12A8,L,Hóa
Wed,1,12A9,T,Thế chất
Wed,1,12A10,S,GDCD
Wed,1,12A11,L,Hóa
Wed,1,12A12,V,Địa
Wed,1,12A13,K,Lý
Wed,1,12A14,P,Anh
Wed,1,12A15,X,Công nghệ & hướng nghiệp
Wed,2,12A1,S,GDCD
Wed,2,12A2,D,Toán
Wed,2,12A3,U,Sử
Wed,2,12A4,G,Văn
Wed,2,12A5,R,Nghệ thuật
Wed,2,12A6,O,Anh
Wed,2,12A7,G,Văn
Wed,2,12A8,N,Sinh
Wed,2,12A9,I,Lý
Wed,2,12A10,D,Toán
Wed,2,12A11,K,Lý
Wed,2,12A12,P,Anh
Wed,2,12A13,P,Anh
Wed,2,12A14,V,Địa
Wed,2,12A15,L,Hóa
Wed,3,12A1,I,Lý
Wed,3,12A2,Q,Tin học
Wed,3,12A3,L,Hóa
Wed,3,12A4,U,Sử
Wed,3,12A5,C,Toán
Wed,3,12A6,X,Công nghệ & hướng nghiệp
Wed,3,12A7,Q,Tin học
Wed,3,12A8,X,Công nghệ & hướng nghiệp
Wed,3,12A9,L,Hóa
Wed,3,12A10,O,Anh
Wed,3,12A11,Q,Tin học
Wed,3,12A12,M,Hóa
Wed,3,12A13,V,Địa
Wed,3,12A14,X,Công nghệ & hướng nghiệp
Wed,3,12A15,P,Anh
Wed,4,12A1,B,Toán
Wed,4,12A2,C,Toán
Wed,4,12A3,G,Văn
Wed,4,12A4,G,Văn
Wed,4,12A5,D,Toán
Wed,4,12A6,U,Sử
Wed,4,12A7,L,Hóa
Wed,4,12A8,U,Sử
Wed,4,12A9,M,Hóa
Wed,4,12A10,Q,Tin học
Wed,4,12A11,N,Sinh
Wed,4,12A12,T,Thế chất
Wed,4,12A13,Q,Tin học
Wed,4,12A14,C,Toán
Wed,4,12A15,V,Địa
Wed,5,12A1,O,Anh
Wed,5,12A2,M,Hóa
Wed,5,12A3,R,Nghệ thuật
Wed,5,12A4,X,Công nghệ & hướng nghiệp
Wed,5,12A5,O,Anh
Wed,5,12A6,I,Lý
Wed,5,12A7,F,Văn
